region,region_code,period,all_providers,all_primary_care_providers,all_physicians,all_primary_care_physicians,all_nurse_practitioners,all_primary_care_nurse_practitioners,all_physician_assistants,all_primary_care_physician_assistants
National,US,2011,716594,302739,598352,238356,68473,41750,49776,22633
Alabama,AL,2011,9676,4064,8281,3341,1036,617,359,106
Alaska,AK,2011,1933,975,1445,647,246,162,242,166
Arizona,AZ,2011,14530,5898,11622,4312,1619,970,1289,616
Arkansas,AR,2011,5456,2520,4589,1964,716,479,151,77
California,CA,2011,76529,32382,66738,26511,5043,3291,4748,2580
Colorado,CO,2011,12331,5253,9777,3774,1129,716,1425,763
Connecticut,CT,2011,10542,4068,8819,3215,1012,586,712,267
Delaware,DE,2011,2298,927,1908,748,239,130,151,49
District Of Columbia,DC,2011,2589,849,2318,726,177,89,94,34
Florida,FL,2011,44861,18140,37148,14480,4512,2483,3201,1177
Georgia,GA,2011,19413,8287,15722,6383,1963,1276,1728,628
Hawaii,HI,2011,2855,1251,2615,1098,145,100,95,53
Idaho,ID,2011,3626,1584,2715,1042,416,269,495,273
Illinois,IL,2011,27624,12095,24212,10234,1893,1175,1519,686
Indiana,IN,2011,14534,5995,12169,4778,1876,1070,489,147
Iowa,IA,2011,6313,3043,4937,2190,745,472,632,381
Kansas,KS,2011,6628,3028,5109,2198,878,506,641,324
Kentucky,KY,2011,10127,4488,8038,3229,1492,952,598,307
Louisiana,LA,2011,9975,4029,8481,3238,1088,667,406,124
Maine,ME,2011,3992,1935,3078,1364,574,387,340,184
Maryland,MD,2011,14306,5997,12327,4944,1095,678,884,375
Massachusetts,MA,2011,20107,8525,16903,6676,2398,1537,806,312
Michigan,MI,2011,23388,10499,19930,8624,1589,969,1869,906
Minnesota,MN,2011,12990,5778,10760,4470,1285,823,944,485
Mississippi,MS,2011,5977,2726,4738,1891,1153,808,85,27
Missouri,MO,2011,13678,5786,11458,4441,1819,1207,401,138
Montana,MT,2011,2495,1163,1905,802,299,205,291,156
Nebraska,NE,2011,4841,2123,3663,1476,529,278,649,369
Nevada,NV,2011,5067,2013,4276,1581,390,249,401,183
New Hampshire,NH,2011,3671,1669,2863,1217,503,324,306,128
New Jersey,NJ,2011,21599,8700,19449,7735,1373,704,777,261
New Mexico,NM,2011,4325,1991,3453,1438,506,350,366,203
New York,NY,2011,54784,22017,46387,17821,4715,2566,3681,1630
North Carolina,NC,2011,22057,9680,17127,7076,2162,1357,2769,1247
North Dakota,ND,2011,1785,780,1359,529,263,156,163,95
Ohio,OH,2011,26510,10584,23274,9071,2272,1219,965,294
Oklahoma,OK,2011,7359,3309,6081,2579,487,349,792,381
Oregon,OR,2011,9475,4246,7716,3252,990,671,769,323
Pennsylvania,PA,2011,34777,13572,29036,10926,2774,1491,2968,1155
Rhode Island,RI,2011,3027,1199,2607,991,282,148,138,60
South Carolina,SC,2011,10030,4309,8387,3409,1026,654,617,246
South Dakota,SD,2011,2113,958,1541,623,245,134,327,201
Tennessee,TN,2011,16152,6980,12521,4853,2842,1773,789,354
Texas,TX,2011,47688,20354,40240,15764,4041,2711,3406,1879
Utah,UT,2011,6265,2389,4964,1750,661,341,641,298
Vermont,VT,2011,1884,861,1457,606,243,163,184,92
Virginia,VA,2011,17659,7816,14588,6182,1957,1267,1114,367
Washington,WA,2011,16739,7159,13487,5444,1752,1058,1500,657
West Virginia,WV,2011,4621,2136,3640,1541,451,296,531,299
Wisconsin,WI,2011,14130,5997,11542,4739,1421,780,1168,478
Wyoming,WY,2011,1263,612,952,433,151,87,160,92
Alabama,AL,2011,75,34,50,28,18,5,7,1
Alabama,AL,2011,307,140,272,127,22,12,14,1
Alabama,AL,2011,18,15,16,12,1,1,2,2
Alabama,AL,2011,10,8,7,6,2,2,0,0
Alabama,AL,2011,26,14,24,12,2,2,0,0
Alabama,AL,2011,9,9,4,4,4,4,1,1
Alabama,AL,2011,28,17,23,12,5,5,0,0
Alabama,AL,2011,251,110,211,96,29,12,10,2
Alabama,AL,2011,27,20,25,18,2,2,0,0
Alabama,AL,2011,24,14,20,12,2,2,3,0
Alabama,AL,2011,29,15,28,14,0,0,1,1
Alabama,AL,2011,8,7,6,5,2,2,0,0
Alabama,AL,2011,24,19,18,13,4,4,2,2
Alabama,AL,2011,12,9,12,8,1,1,0,0
Alabama,AL,2011,4,3,4,3,0,0,0,0
Alabama,AL,2011,49,28,43,22,5,5,1,1
Alabama,AL,2011,100,65,79,45,20,19,1,1
Alabama,AL,2011,11,7,10,6,1,1,0,0
Alabama,AL,2011,1,1,1,1,0,0,0,0
Alabama,AL,2011,65,33,50,24,10,8,5,1
Alabama,AL,2011,9,9,3,3,4,4,2,2
Alabama,AL,2011,205,75,175,65,27,10,3,0
Alabama,AL,2011,37,22,30,16,4,4,3,2
Alabama,AL,2011,54,29,51,26,3,3,0,0
Alabama,AL,2011,58,36,44,28,13,8,1,0
Alabama,AL,2011,39,27,32,20,7,7,0,0
Alabama,AL,2011,47,32,37,24,5,4,5,4
Alabama,AL,2011,207,91,177,81,17,10,13,0
Alabama,AL,2011,32,22,27,17,5,5,0,0
Alabama,AL,2011,33,23,26,16,7,7,0,0
Alabama,AL,2011,10,8,8,6,2,2,0,0
Alabama,AL,2011,5,4,4,3,0,0,1,1
Alabama,AL,2011,8,7,5,5,2,2,0,0
Alabama,AL,2011,5,5,3,3,1,1,1,1
Alabama,AL,2011,396,130,342,111,40,16,15,3
Alabama,AL,2011,59,42,44,30,14,12,1,0
Alabama,AL,2011,2458,723,2210,646,160,56,87,21
Alabama,AL,2011,7,5,5,4,2,1,0,0
Alabama,AL,2011,169,72,137,50,28,22,4,0
Alabama,AL,2011,16,14,11,10,4,4,0,0
Alabama,AL,2011,186,97,158,80,18,12,10,5
Alabama,AL,2011,58,36,49,28,9,8,0,0
Alabama,AL,2011,3,1,2,1,1,0,0,0
Alabama,AL,2011,12,10,9,7,3,3,0,0
Alabama,AL,2011,920,336,799,292,100,42,21,2
Alabama,AL,2011,27,19,17,10,9,8,1,1
Alabama,AL,2011,18,11,13,6,6,5,0,0
Alabama,AL,2011,135,79,112,62,20,17,3,0
Alabama,AL,2011,996,366,853,300,84,46,60,20
Alabama,AL,2011,21,13,20,12,1,1,0,0
Alabama,AL,2011,646,282,564,238,61,34,21,10
Alabama,AL,2011,202,101,182,89,16,10,3,2
Alabama,AL,2011,6,6,4,4,2,2,0,0
Alabama,AL,2011,16,11,14,9,2,2,0,0
Alabama,AL,2011,40,29,29,17,10,10,2,2
Alabama,AL,2011,21,19,10,8,10,10,1,1
Alabama,AL,2011,25,17,24,16,1,1,0,0
Alabama,AL,2011,41,33,31,23,10,10,0,0
Alabama,AL,2011,235,121,205,106,17,11,14,4
Alabama,AL,2011,8,8,6,6,2,2,0,0
Alabama,AL,2011,89,54,76,44,12,10,1,0
Alabama,AL,2011,78,42,62,30,15,12,1,0
Alabama,AL,2011,437,166,359,135,62,29,16,2
Alabama,AL,2011,83,49,67,39,14,10,1,0
Alabama,AL,2011,5,5,4,4,1,1,0,0
Alabama,AL,2011,4,3,3,2,1,1,0,0
Alabama,AL,2011,18,13,12,8,6,5,0,0
Alaska,AK,2011,34,19,28,15,5,4,1,0
Alaska,AK,2011,11,11,7,7,4,4,0,0
Alaska,AK,2011,46,26,42,22,1,1,3,3
Alaska,AK,2011,2,2,1,1,1,1,0,0
Alaska,AK,2011,983,419,743,294,137,70,104,55
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,112,64,87,40,14,12,12,12
Alaska,AK,2011,116,88,84,56,20,19,13,13
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,6,5,3,2,1,1,2,2
Alaska,AK,2011,27,7,25,5,1,1,1,1
Alaska,AK,2011,194,112,136,69,16,13,42,30
Alaska,AK,2011,2,2,2,2,0,0,0,0
Alaska,AK,2011,13,5,9,3,1,1,3,1
Alaska,AK,2011,2,2,1,1,0,0,1,1
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,13,13,13,13,0,0,0,0
Alaska,AK,2011,152,95,108,62,28,19,16,14
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,7,5,1,0,0,0,6,5
Alaska,AK,2011,7,7,4,4,1,1,2,2
Alaska,AK,2011,24,10,18,4,1,1,5,5
Alaska,AK,2011,53,26,43,18,2,2,8,6
Alaska,AK,2011,4,4,2,2,0,0,2,2
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,0,0,0,0,0,0,0,0
Alaska,AK,2011,7,7,4,4,1,1,2,2
Alaska,AK,2011,3,3,1,1,2,2,0,0
Alaska,AK,2011,34,12,32,10,1,1,1,1
Arizona,AZ,2011,74,32,58,24,7,4,10,4
Arizona,AZ,2011,211,113,159,66,33,31,19,16
Arizona,AZ,2011,341,135,269,98,33,23,38,14
Arizona,AZ,2011,97,39,82,31,6,4,9,4
Arizona,AZ,2011,64,24,52,16,2,1,10,7
Arizona,AZ,2011,10,9,8,6,1,1,2,2
Arizona,AZ,2011,22,14,14,8,5,3,3,3
Arizona,AZ,2011,8924,3446,7173,2559,924,517,827,370
Arizona,AZ,2011,380,172,295,116,44,31,41,25
Arizona,AZ,2011,122,80,92,53,21,18,9,9
Arizona,AZ,2011,2524,993,2120,769,285,176,119,48
Arizona,AZ,2011,19,7,15,4,4,2,1,1
Arizona,AZ,2011,40,22,34,16,6,6,0,0
Arizona,AZ,2011,435,213,334,147,70,50,32,16
Arizona,AZ,2011,286,135,222,100,21,13,43,22
Arkansas,AR,2011,23,19,17,13,6,6,0,0
Arkansas,AR,2011,20,19,15,14,4,4,1,1
Arkansas,AR,2011,112,49,88,33,22,15,3,1
Arkansas,AR,2011,301,165,252,132,35,27,14,6
Arkansas,AR,2011,68,42,56,31,9,9,3,2
Arkansas,AR,2011,11,10,9,8,2,2,0,0
Arkansas,AR,2011,2,3,2,2,1,1,0,0
Arkansas,AR,2011,29,18,26,14,4,4,0,0
Arkansas,AR,2011,11,9,8,6,1,1,2,2
Arkansas,AR,2011,32,20,27,15,4,4,1,1
Arkansas,AR,2011,18,17,13,12,5,5,0,0
Arkansas,AR,2011,43,19,35,12,6,6,1,1
Arkansas,AR,2011,1,1,1,1,0,0,0,0
Arkansas,AR,2011,24,22,16,14,8,8,0,0
Arkansas,AR,2011,24,13,23,12,1,1,0,0
Arkansas,AR,2011,319,128,282,106,32,20,6,2
Arkansas,AR,2011,47,29,40,22,5,5,2,2
Arkansas,AR,2011,69,39,55,30,14,9,0,0
Arkansas,AR,2011,11,11,9,9,2,2,0,0
Arkansas,AR,2011,5,5,3,3,2,2,0,0
Arkansas,AR,2011,14,13,10,9,4,4,0,0
Arkansas,AR,2011,12,9,12,8,1,1,0,0
Arkansas,AR,2011,168,89,133,63,30,22,5,4
Arkansas,AR,2011,11,8,10,6,2,2,0,0
Arkansas,AR,2011,15,14,10,8,6,6,0,0
Arkansas,AR,2011,265,108,213,82,44,24,8,2
Arkansas,AR,2011,10,10,6,6,3,3,1,1
Arkansas,AR,2011,51,33,37,21,14,12,0,0
Arkansas,AR,2011,22,17,17,12,4,4,1,1
Arkansas,AR,2011,18,13,13,8,3,3,2,2
Arkansas,AR,2011,13,7,11,7,0,0,1,0
Arkansas,AR,2011,79,36,73,31,4,4,2,1
Arkansas,AR,2011,5,5,2,2,2,2,1,1
Arkansas,AR,2011,26,15,22,11,3,3,1,1
Arkansas,AR,2011,139,60,127,54,8,3,4,3
Arkansas,AR,2011,28,19,23,15,3,3,2,1
Arkansas,AR,2011,2,2,1,1,1,1,0,0
Arkansas,AR,2011,15,15,11,11,4,4,0,0
Arkansas,AR,2011,6,4,5,4,0,0,0,0
Arkansas,AR,2011,3,2,3,2,0,0,0,0
Arkansas,AR,2011,5,5,5,5,0,0,0,0
Arkansas,AR,2011,14,14,10,10,4,4,0,0
Arkansas,AR,2011,32,26,24,20,4,4,4,2
Arkansas,AR,2011,5,5,4,4,1,1,0,0
Arkansas,AR,2011,5,5,4,4,1,1,0,0
Arkansas,AR,2011,23,14,19,10,4,4,0,0
Arkansas,AR,2011,44,27,33,21,10,6,1,0
Arkansas,AR,2011,14,10,7,5,6,5,0,0
Arkansas,AR,2011,4,4,2,2,1,1,1,1
Arkansas,AR,2011,4,3,2,2,1,1,0,0
Arkansas,AR,2011,4,4,2,2,2,2,0,0
Arkansas,AR,2011,30,15,29,14,0,0,1,1
Arkansas,AR,2011,4,4,3,3,1,1,0,0
Arkansas,AR,2011,23,19,15,11,8,8,0,0
Arkansas,AR,2011,8,9,5,5,2,2,2,2
Arkansas,AR,2011,14,14,8,8,6,6,0,0
Arkansas,AR,2011,32,27,21,16,7,7,4,4
Arkansas,AR,2011,89,40,78,33,8,7,3,0
Arkansas,AR,2011,5,3,2,2,2,1,1,0
Arkansas,AR,2011,1559,418,1394,363,137,46,28,9
Arkansas,AR,2011,23,17,15,9,8,8,0,0
Arkansas,AR,2011,21,14,17,10,4,4,0,0
Arkansas,AR,2011,92,56,84,49,7,7,1,0
Arkansas,AR,2011,4,4,2,2,2,2,0,0
Arkansas,AR,2011,8,7,5,4,2,2,1,1
Arkansas,AR,2011,344,143,311,129,29,14,4,0
Arkansas,AR,2011,10,8,10,8,0,0,0,0
Arkansas,AR,2011,16,15,10,9,6,6,0,0
Arkansas,AR,2011,12,6,10,6,0,0,1,0
Arkansas,AR,2011,85,45,73,36,12,8,1,1
Arkansas,AR,2011,24,16,17,9,6,6,1,1
Arkansas,AR,2011,453,197,377,164,59,29,18,4
Arkansas,AR,2011,115,61,90,42,18,11,8,8
Arkansas,AR,2011,12,12,7,7,5,5,0,0
Arkansas,AR,2011,20,21,14,14,6,6,1,1
California,CA,2011,3295,1524,2907,1310,210,138,178,76
California,CA,2011,0,0,0,0,0,0,0,0
California,CA,2011,65,40,53,28,8,8,4,4
California,CA,2011,563,249,441,164,62,44,60,41
California,CA,2011,50,30,40,22,6,4,4,4
California,CA,2011,28,21,19,12,7,7,2,2
California,CA,2011,1845,741,1637,639,107,70,101,32
California,CA,2011,40,29,30,20,3,3,7,6
California,CA,2011,247,132,189,82,36,30,22,20
California,CA,2011,1676,791,1345,578,208,138,123,75
California,CA,2011,26,24,14,12,10,9,3,3
California,CA,2011,297,179,216,107,52,50,30,22
California,CA,2011,240,105,175,65,29,23,37,17
California,CA,2011,46,32,34,20,9,9,3,3
California,CA,2011,1099,562,888,407,94,75,117,80
California,CA,2011,215,120,152,77,38,27,25,16
California,CA,2011,107,62,79,42,16,10,12,10
California,CA,2011,49,28,37,19,4,4,8,5
California,CA,2011,19410,7938,17457,6807,889,518,1064,613
California,CA,2011,240,99,172,61,40,22,28,16
California,CA,2011,724,293,654,247,56,40,14,6
California,CA,2011,27,18,19,10,1,1,7,7
California,CA,2011,217,133,152,77,48,40,18,16
California,CA,2011,283,174,216,124,22,18,44,32
California,CA,2011,14,12,7,6,6,5,1,1
California,CA,2011,43,13,34,9,4,3,5,1
California,CA,2011,749,372,642,296,35,23,72,53
California,CA,2011,287,146,246,110,29,28,12,8
California,CA,2011,243,125,193,83,28,22,22,20
California,CA,2011,6384,2751,5676,2347,316,213,392,191
California,CA,2011,706,397,592,316,62,49,52,32
California,CA,2011,48,27,40,19,7,7,1,1
California,CA,2011,2734,1211,2295,950,170,112,270,149
California,CA,2011,3149,1153,2770,921,196,131,183,101
California,CA,2011,64,34,54,24,4,4,6,6
California,CA,2011,3201,1407,2755,1133,186,116,260,158
California,CA,2011,6224,2341,5432,1936,426,246,366,159
California,CA,2011,3369,1092,2961,906,316,152,92,34
California,CA,2011,881,397,778,327,66,50,38,20
California,CA,2011,610,255,508,186,58,44,43,25
California,CA,2011,1506,564,1399,515,68,41,40,8
California,CA,2011,944,388,803,307,69,48,73,33
California,CA,2011,4947,1847,4546,1712,208,80,194,55
California,CA,2011,628,290,531,243,30,19,66,28
California,CA,2011,466,203,351,133,66,48,48,22
California,CA,2011,5,4,2,2,2,2,0,0
California,CA,2011,106,64,80,39,19,18,7,7
California,CA,2011,564,256,501,221,39,27,23,8
California,CA,2011,1076,456,963,371,86,70,28,15
California,CA,2011,943,438,797,345,79,56,67,37
California,CA,2011,204,108,171,84,11,10,22,14
California,CA,2011,97,60,75,42,6,6,16,12
California,CA,2011,12,11,6,5,4,4,2,2
California,CA,2011,591,364,440,235,68,60,84,69
California,CA,2011,140,70,105,42,28,24,7,4
California,CA,2011,1536,723,1349,598,101,77,86,48
California,CA,2011,322,188,270,154,18,12,34,22
California,CA,2011,96,51,68,26,13,11,15,14
Colorado,CO,2011,1254,391,996,281,128,48,131,62
Colorado,CO,2011,48,29,33,19,5,4,10,6
Colorado,CO,2011,1486,602,1189,433,111,67,186,102
Colorado,CO,2011,4,4,3,3,1,1,0,0
Colorado,CO,2011,6,6,4,4,1,1,1,1
Colorado,CO,2011,3,4,2,2,2,2,0,0
Colorado,CO,2011,926,392,741,298,84,59,102,35
Colorado,CO,2011,68,50,52,37,0,0,16,13
Colorado,CO,2011,33,22,24,16,2,2,6,4
Colorado,CO,2011,4,4,2,2,0,0,2,2
Colorado,CO,2011,1,1,0,0,0,0,1,1
Colorado,CO,2011,5,5,2,2,1,1,2,2
Colorado,CO,2011,2,2,2,2,0,0,0,0
Colorado,CO,2011,3,3,1,1,2,2,0,0
Colorado,CO,2011,2,2,1,1,1,1,0,0
Colorado,CO,2011,54,38,47,33,2,1,5,4
Colorado,CO,2011,1953,667,1640,515,133,70,179,82
Colorado,CO,2011,3,3,0,0,1,1,2,2
Colorado,CO,2011,562,283,433,200,56,39,73,44
Colorado,CO,2011,134,57,106,43,12,8,16,6
Colorado,CO,2011,4,3,4,3,0,0,0,0
Colorado,CO,2011,1358,523,1065,356,154,100,140,67
Colorado,CO,2011,57,33,38,20,9,6,10,7
Colorado,CO,2011,108,61,89,46,10,8,10,7
Colorado,CO,2011,0,0,0,0,0,0,0,0
Colorado,CO,2011,44,12,39,7,4,4,1,1
Colorado,CO,2011,23,15,14,9,2,1,7,5
Colorado,CO,2011,2,2,1,1,1,1,0,0
Colorado,CO,2011,12,7,9,5,2,1,1,1
Colorado,CO,2011,2,2,1,1,0,0,1,1
Colorado,CO,2011,896,487,707,338,78,65,111,84
Colorado,CO,2011,3,3,2,2,1,1,0,0
Colorado,CO,2011,23,15,16,8,4,4,4,3
Colorado,CO,2011,4,4,2,2,0,0,2,2
Colorado,CO,2011,170,59,128,40,15,12,27,7
Colorado,CO,2011,787,323,627,240,66,37,94,46
Colorado,CO,2011,15,14,13,12,0,0,2,2
Colorado,CO,2011,10,10,6,6,2,2,2,2
Colorado,CO,2011,37,21,29,14,6,5,3,2
Colorado,CO,2011,420,167,338,132,32,17,50,18
Colorado,CO,2011,1,0,0,0,0,0,0,0
Colorado,CO,2011,12,7,10,5,1,1,1,1
Colorado,CO,2011,30,21,24,15,2,2,4,4
Colorado,CO,2011,79,40,66,31,9,8,4,1
Colorado,CO,2011,40,27,29,18,4,3,7,6
Colorado,CO,2011,61,26,47,13,10,9,4,4
Colorado,CO,2011,6,6,4,4,2,2,0,0
Colorado,CO,2011,5,5,2,2,2,2,1,1
Colorado,CO,2011,9,9,7,7,2,2,0,0
Colorado,CO,2011,57,18,48,16,2,2,6,0
Colorado,CO,2011,35,17,26,9,7,6,2,2
Colorado,CO,2011,376,165,298,116,46,26,32,23
Colorado,CO,2011,12,12,8,8,2,2,2,2
Colorado,CO,2011,14,14,8,8,2,2,4,4
Colorado,CO,2011,66,35,52,26,3,2,11,7
Colorado,CO,2011,8,7,4,4,2,2,1,1
Colorado,CO,2011,2,2,2,2,0,0,0,0
Colorado,CO,2011,10,4,7,3,1,0,2,1
Colorado,CO,2011,8,7,6,5,0,0,2,2
Colorado,CO,2011,59,25,49,20,3,2,7,3
Colorado,CO,2011,24,17,17,11,2,1,5,5
Colorado,CO,2011,6,5,2,2,1,1,2,2
Colorado,CO,2011,347,189,259,138,39,26,49,25
Colorado,CO,2011,18,14,13,11,2,0,3,3
Connecticut,CT,2011,2721,1039,2339,878,199,107,183,54
Connecticut,CT,2011,2796,1094,2302,848,294,170,200,76
Connecticut,CT,2011,295,133,247,109,30,18,18,6
Connecticut,CT,2011,373,165,316,133,37,26,20,6
Connecticut,CT,2011,2917,991,2477,773,249,137,192,81
Connecticut,CT,2011,609,242,496,188,74,36,40,18
Connecticut,CT,2011,219,116,168,79,41,32,10,5
Connecticut,CT,2011,183,110,148,85,30,22,5,3
Delaware,DE,2011,265,111,226,88,18,11,22,12
Delaware,DE,2011,1481,601,1227,489,162,84,92,28
Delaware,DE,2011,449,180,374,147,47,27,28,6
District Of Columbia,DC,2011,2534,825,2279,711,169,83,87,31
Florida,FL,2011,1182,357,970,268,142,71,71,18
Florida,FL,2011,24,17,20,13,4,4,0,0
Florida,FL,2011,433,176,333,130,60,32,40,14
Florida,FL,2011,32,21,22,13,8,6,2,2
Florida,FL,2011,1225,499,1022,389,129,84,75,26
Florida,FL,2011,3996,1575,3505,1327,262,156,229,92
Florida,FL,2011,10,10,6,6,4,4,0,0
Florida,FL,2011,394,161,324,132,49,24,22,5
Florida,FL,2011,288,131,232,92,34,26,23,13
Florida,FL,2011,343,176,244,119,48,31,51,26
Florida,FL,2011,812,264,662,218,67,30,83,16
Florida,FL,2011,160,86,118,52,30,26,12,8
Florida,FL,2011,5523,2219,4918,1979,262,106,342,134
Florida,FL,2011,34,25,26,17,4,4,4,4
Florida,FL,2011,14,14,8,8,3,3,3,3
Florida,FL,2011,2816,1036,2323,814,277,148,217,74
Florida,FL,2011,851,310,673,244,109,42,69,24
Florida,FL,2011,159,80,126,59,19,15,14,6
Florida,FL,2011,12,11,7,6,4,4,1,1
Florida,FL,2011,25,18,19,13,6,5,0,0
Florida,FL,2011,13,12,6,6,2,2,4,4
Florida,FL,2011,6,4,4,2,2,2,0,0
Florida,FL,2011,14,13,9,8,3,3,2,2
Florida,FL,2011,11,11,7,6,4,4,1,1
Florida,FL,2011,28,19,18,11,5,4,5,4
Florida,FL,2011,40,24,32,17,5,4,4,3
Florida,FL,2011,329,167,269,132,32,16,28,19
Florida,FL,2011,217,94,179,68,16,14,22,12
Florida,FL,2011,3235,1260,2653,1001,372,186,210,73
Florida,FL,2011,12,10,7,6,2,2,2,2
Florida,FL,2011,359,133,304,113,32,14,23,6
Florida,FL,2011,72,47,44,24,24,21,4,2
Florida,FL,2011,6,5,4,3,1,1,1,1
Florida,FL,2011,5,5,2,2,3,3,0,0
Florida,FL,2011,684,302,559,231,75,51,50,20
Florida,FL,2011,1303,481,1077,388,126,66,100,27
Florida,FL,2011,683,285,504,205,128,68,51,12
Florida,FL,2011,32,28,22,18,8,7,3,3
Florida,FL,2011,6,5,3,3,3,2,0,0
Florida,FL,2011,14,11,10,8,3,3,0,0
Florida,FL,2011,614,252,515,195,60,35,40,22
Florida,FL,2011,686,271,553,206,85,49,48,16
Florida,FL,2011,340,130,276,100,38,19,26,11
Florida,FL,2011,138,60,120,50,11,8,7,2
Florida,FL,2011,92,44,65,28,16,10,10,6
Florida,FL,2011,360,149,299,122,34,16,28,11
Florida,FL,2011,68,38,51,27,10,7,6,4
Florida,FL,2011,2743,1080,2190,868,340,150,213,62
Florida,FL,2011,511,232,417,182,42,22,52,28
Florida,FL,2011,3425,1249,2921,1019,276,153,228,77
Florida,FL,2011,867,387,698,309,104,54,64,24
Florida,FL,2011,2588,1009,2117,807,302,172,169,30
Florida,FL,2011,1001,459,838,370,111,65,52,24
Florida,FL,2011,108,68,87,51,14,13,8,4
Florida,FL,2011,308,138,249,108,26,18,33,12
Florida,FL,2011,492,193,391,151,71,29,30,13
Florida,FL,2011,203,113,161,85,32,23,10,5
Florida,FL,2011,1058,355,924,310,71,29,63,16
Florida,FL,2011,750,381,620,312,78,46,52,23
Florida,FL,2011,89,46,65,31,16,12,8,3
Florida,FL,2011,31,31,16,15,10,10,6,6
Florida,FL,2011,28,26,14,12,12,12,2,2
Florida,FL,2011,7,5,6,4,1,1,0,0
Florida,FL,2011,918,393,765,313,85,50,69,30
Florida,FL,2011,13,13,8,8,5,5,0,0
Florida,FL,2011,75,39,59,27,8,8,7,4
Florida,FL,2011,24,22,10,8,13,13,1,1
Georgia,GA,2011,24,19,17,11,6,6,2,2
Georgia,GA,2011,5,5,4,4,0,0,1,1
Georgia,GA,2011,12,10,8,6,4,4,0,0
Georgia,GA,2011,3,2,2,2,0,0,0,0
Georgia,GA,2011,85,36,78,32,6,4,1,0
Georgia,GA,2011,11,11,8,8,3,3,0,0
Georgia,GA,2011,45,24,37,22,4,2,4,0
Georgia,GA,2011,128,61,98,39,23,18,8,4
Georgia,GA,2011,28,24,20,16,6,6,2,2
Georgia,GA,2011,7,7,5,5,2,2,0,0
Georgia,GA,2011,675,243,562,199,56,34,58,10
Georgia,GA,2011,10,10,7,7,3,3,0,0
Georgia,GA,2011,3,3,1,1,2,2,0,0
Georgia,GA,2011,18,12,9,6,4,2,5,4
Georgia,GA,2011,27,19,18,14,4,4,5,1
Georgia,GA,2011,135,63,94,35,18,14,23,14
Georgia,GA,2011,19,15,14,10,2,2,4,3
Georgia,GA,2011,11,6,10,6,0,0,0,0
Georgia,GA,2011,10,10,5,5,2,2,3,3
Georgia,GA,2011,73,42,61,37,5,5,7,0
Georgia,GA,2011,12,10,8,7,3,3,0,0
Georgia,GA,2011,233,95,189,75,28,16,16,4
Georgia,GA,2011,71,42,59,31,9,9,3,2
Georgia,GA,2011,7,6,4,3,3,3,0,0
Georgia,GA,2011,795,296,638,233,90,42,67,21
Georgia,GA,2011,32,18,24,12,5,3,3,3
Georgia,GA,2011,17,13,8,5,6,6,2,2
Georgia,GA,2011,277,137,235,106,24,21,18,10
Georgia,GA,2011,388,137,308,112,43,16,36,9
Georgia,GA,2011,1,1,1,1,0,0,0,0
Georgia,GA,2011,291,125,257,106,21,12,12,7
Georgia,GA,2011,5,4,3,3,0,0,2,1
Georgia,GA,2011,1357,492,1057,384,152,88,149,20
Georgia,GA,2011,72,35,55,26,4,3,13,6
Georgia,GA,2011,67,35,53,25,5,4,9,6
Georgia,GA,2011,141,59,128,54,2,2,12,3
Georgia,GA,2011,8,5,8,5,0,0,0,0
Georgia,GA,2011,160,72,136,58,12,7,12,7
Georgia,GA,2011,2,3,2,2,1,1,0,0
Georgia,GA,2011,47,24,38,20,4,2,5,2
Georgia,GA,2011,6,5,3,3,2,2,0,0
Georgia,GA,2011,28,22,21,15,5,5,2,2
Georgia,GA,2011,39,19,29,14,4,4,5,1
Georgia,GA,2011,1676,593,1447,479,127,65,102,49
Georgia,GA,2011,30,19,24,14,3,2,3,3
Georgia,GA,2011,8,6,6,4,2,2,0,0
Georgia,GA,2011,286,120,234,101,21,8,32,11
Georgia,GA,2011,161,88,129,67,21,16,12,5
Georgia,GA,2011,6,4,4,3,2,1,0,0
Georgia,GA,2011,0,0,0,0,0,0,0,0
Georgia,GA,2011,41,26,33,20,4,3,4,3
Georgia,GA,2011,15,8,13,6,1,1,1,1
Georgia,GA,2011,24,19,17,12,3,3,4,4
Georgia,GA,2011,10,6,8,5,0,0,2,1
Georgia,GA,2011,31,20,22,12,9,8,0,0
Georgia,GA,2011,279,130,209,91,32,23,38,16
Georgia,GA,2011,330,134,279,107,28,18,23,9
Georgia,GA,2011,205,96,172,78,19,11,14,7
Georgia,GA,2011,37,21,24,13,12,8,1,0
Georgia,GA,2011,3199,1074,2675,902,241,115,283,57
Georgia,GA,2011,45,24,36,18,4,4,5,2
Georgia,GA,2011,1,1,1,1,0,0,0,0
Georgia,GA,2011,244,75,200,57,19,14,25,4
